Transaction_ID,Transacton_Amt (USD),Merchant Category,Card Type,Authentication Method,Transaction Mode,Device Type,Is Foreign Transaction,Hours Since Last Transaction,Transactions Count (last 24hrs),Distance from home (Km),Card Age (Months),Customer Age,Customer Age Group,Account Balance (USD),New Merchant,VPN Used,IP Country Mismatch,Billing & Shipping Mismatch,CVV Retry Count,Velocity Score,Time of Day,Day of Week,AI Scam Attempt,Merchant Risk Score,Merchant Risk Level,Previous Disputes,Fraud Status
3671,59.62,Healthcare,Visa,OTP,Online,Tablet,No,6-12 Hours,3,2.3,2–5 Years,38,36-45,8069,No,No,No,No,0,15.4,Early Morning (12 AM - 6 AM),Sunday,No,40.5,Medium,0,Genuine
3672,8.55,Gaming,Visa,PIN,Online,iPhone,No,1-6 Hours,7,50.29,2–5 Years,23,18-25,13724.64,No,No,No,No,0,49.2,Early Morning (12 AM - 6 AM),Friday,No,47.7,Medium,0,Genuine
3673,13.33,Restaurants,Visa,OTP,Online,Smart Watch,No,6-12 Hours,3,1.28,2–5 Years,61,61+,2693.21,No,No,No,No,0,4,Afternoon (12 PM - 5 PM),Monday,No,34.3,Low,1,Genuine
3674,31.35,Groceries,RuPay,OTP,POS,Tablet,No,1-6 Hours,3,7.04,2–5 Years,44,36-45,3312.25,No,Yes,No,No,0,20.4,Early Morning (12 AM - 6 AM),Thursday,No,21.4,Low,0,Genuine
3675,90.31,Utilities,Amex,PIN,In-App,POS Terminal,No,1-2 Days,5,21.17,2–5 Years,33,26-35,2773.5,Yes,No,No,No,0,27,Evening (5 PM - 9 PM),Sunday,No,43.9,Medium,1,Genuine
3676,147.69,Utilities,Visa,OTP,POS,Android Phone,No,6-12 Hours,0,19.35,2–5 Years,77,61+,1693.82,No,No,No,No,0,0,Morning (6 AM - 12 PM),Sunday,No,38.7,Low,0,Genuine
3677,12.7,Restaurants,Mastercard,Biometric,Contactless,Android Phone,No,1-6 Hours,4,24.34,2–5 Years,41,36-45,1027.91,No,No,No,No,0,18.8,Early Morning (12 AM - 6 AM),Saturday,No,39.7,Low,0,Genuine
3678,29.76,Fuel,Visa,3D Secure,Online,Windows PC,No,1-6 Hours,5,17.07,2–5 Years,75,61+,311.96,No,No,No,No,0,30.1,Evening (5 PM - 9 PM),Wednesday,No,12.5,Very Low,1,Genuine
3679,80.13,Travel,Mastercard,3D Secure,Online,Windows PC,No,12-24 Hours,7,42.98,2–5 Years,39,36-45,1835.56,No,No,No,No,0,24.7,Early Morning (12 AM - 6 AM),Monday,No,17.9,Very Low,0,Genuine
3680,100.56,Healthcare,Visa,3D Secure,Online,Windows PC,No,1-2 Days,4,20.89,2–5 Years,70,61+,943.66,No,No,No,No,0,18.1,Evening (5 PM - 9 PM),Wednesday,No,47.6,Medium,1,Genuine
3681,4.2,Fuel,Amex,OTP,ATM,iPhone,No,12-24 Hours,8,8.56,2–5 Years,46,46-60,1090.49,Yes,No,No,No,0,37.9,Evening (5 PM - 9 PM),Sunday,No,16.4,Very Low,0,Genuine
3682,45.22,Gaming,Mastercard,OTP,POS,Mac,No,12-24 Hours,4,42.37,2–5 Years,24,18-25,2809.77,No,No,No,No,1,20.5,Early Morning (12 AM - 6 AM),Sunday,No,51.2,Medium,0,Genuine
3683,314.24,Groceries,Mastercard,Biometric,POS,iPhone,No,6-12 Hours,1,15.51,2–5 Years,27,26-35,1001.13,Yes,No,No,No,0,3.1,Morning (6 AM - 12 PM),Sunday,No,30.6,Low,0,Genuine
3684,38.32,Gaming,Mastercard,3D Secure,ATM,ATM Machine,No,6-12 Hours,4,33.33,2–5 Years,63,61+,922.59,No,Yes,No,No,0,23.9,Early Morning (12 AM - 6 AM),Thursday,No,37.6,Low,0,Genuine
3685,75.8,Restaurants,RuPay,OTP,In-App,POS Terminal,No,6-12 Hours,3,16.16,2–5 Years,31,26-35,288.65,No,No,No,No,1,15.3,Afternoon (12 PM - 5 PM),Friday,No,26.9,Low,0,Genuine
3686,45.13,Restaurants,Mastercard,3D Secure,Contactless,POS Terminal,No,12-24 Hours,3,22.22,2–5 Years,26,26-35,472.46,No,No,No,No,0,9.4,Evening (5 PM - 9 PM),Thursday,No,39.6,Low,0,Genuine
3687,86.78,Groceries,Mastercard,Biometric,Online,Windows PC,No,1-6 Hours,3,35.04,2–5 Years,19,18-25,1626.92,Yes,No,No,No,0,4.4,Early Morning (12 AM - 6 AM),Sunday,No,40.9,Medium,0,Genuine
3688,431.5,Travel,Visa,3D Secure,Online,Smart Watch,No,1-6 Hours,4,31.21,5+ Years,54,46-60,354.69,Yes,No,No,No,0,20.1,Early Morning (12 AM - 6 AM),Sunday,Yes,35.9,Low,0,Genuine
3689,159.49,Fuel,Mastercard,3D Secure,ATM,Tablet,No,6-12 Hours,2,1.32,2–5 Years,56,46-60,523.07,Yes,No,No,No,0,24.1,Afternoon (12 PM - 5 PM),Friday,No,40.9,Medium,0,Genuine
3690,285.72,Online Retail,Visa,OTP,POS,iPhone,No,1-6 Hours,3,2.3,2–5 Years,81,61+,145.13,No,No,No,No,0,13.7,Morning (6 AM - 12 PM),Wednesday,No,29.1,Low,0,Genuine
3691,25.51,Restaurants,Amex,OTP,Online,Windows PC,No,1-6 Hours,4,77.17,2–5 Years,58,46-60,6288.4,No,No,No,No,0,27.8,Early Morning (12 AM - 6 AM),Monday,No,28.5,Low,0,Genuine
3692,66.23,Online Retail,Visa,3D Secure,ATM,Tablet,No,1-2 Days,1,8.45,2–5 Years,21,18-25,1346.07,No,No,No,No,0,4.6,Night (9 PM - 12 AM),Sunday,No,32.2,Low,0,Genuine
3693,103.91,Fuel,Visa,OTP,POS,Mac,No,6-12 Hours,6,28.81,2–5 Years,42,36-45,583.68,Yes,No,No,No,0,34.7,Morning (6 AM - 12 PM),Saturday,No,34.2,Low,1,Genuine
3694,26.73,Online Retail,Mastercard,Biometric,Online,Android Phone,No,Within 1 Hour,4,16.88,2–5 Years,68,61+,643.23,No,No,No,No,1,33.2,Evening (5 PM - 9 PM),Thursday,No,65.2,High,0,Genuine
3695,15.62,Gaming,Mastercard,3D Secure,POS,Android Phone,No,1-6 Hours,2,17.09,2–5 Years,38,36-45,4136.81,No,No,No,No,0,16.4,Afternoon (12 PM - 5 PM),Monday,No,56.6,Medium,0,Genuine
3696,18.85,Gaming,Discover,3D Secure,In-App,iPhone,No,12-24 Hours,4,8.37,2–5 Years,59,46-60,3212.74,No,No,No,No,0,16.4,Evening (5 PM - 9 PM),Wednesday,No,76.2,High,0,Genuine
3697,14.25,Gift Cards,Mastercard,Biometric,Online,POS Terminal,No,6-12 Hours,1,6.53,2–5 Years,34,26-35,2824.54,Yes,No,No,No,0,2.8,Morning (6 AM - 12 PM),Thursday,No,73.8,High,1,Genuine
3698,92.84,Restaurants,Mastercard,3D Secure,In-App,Android Phone,No,1-6 Hours,3,44.82,2–5 Years,55,46-60,1307.65,No,No,No,No,0,3.4,Early Morning (12 AM - 6 AM),Wednesday,No,2,Very Low,0,Genuine
3699,74.47,Groceries,Discover,OTP,Online,iPhone,No,6-12 Hours,3,42.04,2–5 Years,63,61+,340.36,No,No,No,No,0,18.8,Night (9 PM - 12 AM),Friday,No,26.8,Low,0,Genuine
3700,27.9,Fuel,Discover,3D Secure,Online,Tablet,No,6-12 Hours,2,2.31,2–5 Years,70,61+,3506.77,No,No,No,No,0,2.1,Morning (6 AM - 12 PM),Saturday,No,27.1,Low,0,Genuine
3701,33.18,Utilities,Mastercard,PIN,In-App,POS Terminal,No,1-6 Hours,1,11.66,2–5 Years,80,61+,1487.84,No,No,No,No,1,21.7,Early Morning (12 AM - 6 AM),Saturday,No,40.5,Medium,1,Genuine
3702,90.24,Electronics,Visa,PIN,Online,Mac,No,1-2 Days,3,5.17,2–5 Years,21,18-25,2948.86,No,No,No,No,1,14.4,Early Morning (12 AM - 6 AM),Sunday,No,31.1,Low,0,Genuine
3703,81.46,Fuel,Visa,OTP,Contactless,Mac,No,1-2 Days,3,16.52,2–5 Years,79,61+,344.76,No,No,No,No,1,19.8,Evening (5 PM - 9 PM),Saturday,No,54,Medium,1,Genuine
3704,62.56,Electronics,RuPay,3D Secure,ATM,Smart Watch,No,1-6 Hours,5,38.74,2–5 Years,62,61+,885.07,No,No,No,No,0,35.4,Night (9 PM - 12 AM),Saturday,No,67.9,High,0,Genuine
3705,65.06,Restaurants,Mastercard,PIN,Online,iPhone,No,12-24 Hours,2,9.91,2–5 Years,33,26-35,1997.21,No,No,No,No,0,13.2,Night (9 PM - 12 AM),Friday,No,48.3,Medium,0,Genuine
3706,38.93,Restaurants,Visa,Biometric,POS,Mac,No,1-6 Hours,5,0.84,2–5 Years,29,26-35,6247.66,No,No,No,No,0,15.7,Night (9 PM - 12 AM),Thursday,No,22,Low,0,Genuine
3707,122.88,Travel,Mastercard,No Authentication,POS,POS Terminal,No,1-6 Hours,3,25.15,2–5 Years,54,46-60,5370.89,No,No,No,No,0,26,Morning (6 AM - 12 PM),Tuesday,No,48.9,Medium,0,Genuine
3708,189.64,Electronics,Mastercard,Biometric,In-App,Android Phone,No,1-6 Hours,2,40.51,2–5 Years,80,61+,1669.68,No,No,No,No,0,15.8,Afternoon (12 PM - 5 PM),Monday,No,55.3,Medium,0,Genuine
3709,161.82,Groceries,Visa,3D Secure,Online,iPhone,Yes,12-24 Hours,1,38.09,2–5 Years,42,36-45,7888.69,No,No,No,No,0,5.9,Afternoon (12 PM - 5 PM),Saturday,No,39.8,Low,0,Genuine
3710,26.76,Restaurants,Mastercard,OTP,POS,Android Phone,No,6-12 Hours,5,47.29,5+ Years,62,61+,6114.4,Yes,No,No,No,0,39.5,Morning (6 AM - 12 PM),Wednesday,No,25.5,Low,1,Genuine
3711,1724.48,Electronics,Discover,OTP,Online,Mac,No,1-6 Hours,4,1.65,2–5 Years,54,46-60,2106.87,No,No,No,No,0,11.1,Morning (6 AM - 12 PM),Sunday,No,44.1,Medium,0,Genuine
3712,7.5,Fuel,Visa,3D Secure,POS,POS Terminal,No,1-2 Days,1,16.53,2–5 Years,62,61+,2936.19,No,Yes,No,No,0,7.6,Evening (5 PM - 9 PM),Monday,No,35,Low,0,Genuine
3713,239.74,Online Retail,Mastercard,3D Secure,POS,Windows PC,No,6-12 Hours,2,13.24,2–5 Years,60,46-60,735.61,No,No,No,No,0,0.6,Afternoon (12 PM - 5 PM),Wednesday,No,38.6,Low,0,Genuine
3714,41.15,Groceries,RuPay,No Authentication,Contactless,iPhone,No,1-6 Hours,3,17.65,2–5 Years,19,18-25,1328.2,Yes,No,No,No,0,23.8,Night (9 PM - 12 AM),Saturday,No,31.5,Low,0,Genuine
3715,13.56,Restaurants,Mastercard,PIN,In-App,Windows PC,No,12-24 Hours,3,11.72,2–5 Years,77,61+,2914.54,Yes,No,No,No,0,15.3,Early Morning (12 AM - 6 AM),Sunday,No,25.6,Low,0,Genuine
3716,97.21,Gaming,Mastercard,OTP,Online,POS Terminal,No,12-24 Hours,8,2.88,2–5 Years,39,36-45,1430.4,No,No,No,No,0,42.9,Afternoon (12 PM - 5 PM),Wednesday,No,69.4,High,0,Genuine
3717,199.08,Groceries,Visa,OTP,POS,POS Terminal,No,1-6 Hours,1,10.5,2–5 Years,64,61+,2987.38,No,No,No,No,0,14.9,Morning (6 AM - 12 PM),Sunday,No,29.8,Low,2,Genuine
3718,69.2,Streaming,Mastercard,OTP,POS,Mac,No,1-6 Hours,0,22.18,2–5 Years,34,26-35,4251.07,No,No,No,No,1,12.4,Early Morning (12 AM - 6 AM),Monday,No,19.5,Very Low,0,Genuine
3719,56.97,Gaming,Amex,PIN,Online,POS Terminal,No,1-6 Hours,2,13.67,2–5 Years,20,18-25,1427.25,Yes,No,No,No,0,27.2,Morning (6 AM - 12 PM),Tuesday,No,69.1,High,1,Genuine
3720,38.21,Streaming,Amex,OTP,Online,Android Phone,No,1-6 Hours,1,28.98,2–5 Years,31,26-35,279.82,No,No,No,No,0,0,Early Morning (12 AM - 6 AM),Tuesday,No,8.5,Very Low,0,Genuine
3721,192.35,Groceries,Mastercard,3D Secure,In-App,iPhone,No,6-12 Hours,1,53.07,2–5 Years,53,46-60,2625.25,No,No,No,No,0,0,Afternoon (12 PM - 5 PM),Friday,No,40.9,Medium,0,Genuine
3722,38.88,Restaurants,Mastercard,Biometric,Contactless,iPhone,No,1-2 Days,3,1.11,2–5 Years,51,46-60,2256.58,No,No,No,No,0,0,Early Morning (12 AM - 6 AM),Monday,No,44.4,Medium,1,Genuine
3723,653.3,Travel,Amex,OTP,Online,Android Phone,No,6-12 Hours,0,5.34,2–5 Years,48,46-60,974.46,Yes,Yes,No,No,1,0,Afternoon (12 PM - 5 PM),Wednesday,No,17.4,Very Low,0,Genuine
3724,127.83,Fuel,Visa,3D Secure,Online,Android Phone,No,6-12 Hours,4,6.57,2–5 Years,80,61+,2012.37,No,No,No,No,0,21.7,Afternoon (12 PM - 5 PM),Sunday,No,11.1,Very Low,0,Genuine
3725,176.23,Travel,Mastercard,PIN,POS,POS Terminal,No,12-24 Hours,5,1.71,2–5 Years,77,61+,753.46,No,No,No,No,0,25.6,Evening (5 PM - 9 PM),Monday,No,47.7,Medium,1,Genuine
3726,158.42,Electronics,Discover,3D Secure,Online,iPhone,No,6-12 Hours,3,7.99,2–5 Years,42,36-45,3771.74,Yes,No,No,No,0,18.1,Evening (5 PM - 9 PM),Wednesday,No,49.8,Medium,0,Genuine
3727,6.95,Online Retail,Visa,OTP,POS,Windows PC,No,Within 1 Hour,3,22.68,2–5 Years,35,26-35,3194.82,No,No,No,No,0,56.9,Afternoon (12 PM - 5 PM),Friday,No,27.9,Low,1,Genuine
3728,324.47,Electronics,Amex,3D Secure,In-App,POS Terminal,No,2-7 Days,4,28.9,2–5 Years,74,61+,901.66,No,Yes,No,No,0,4.2,Night (9 PM - 12 AM),Monday,No,48.4,Medium,0,Genuine
3729,45.7,Online Retail,Mastercard,No Authentication,Contactless,POS Terminal,No,6-12 Hours,1,36.28,2–5 Years,73,61+,749.84,No,No,No,No,0,7.5,Early Morning (12 AM - 6 AM),Thursday,No,36.4,Low,1,Genuine
3730,16.6,Streaming,Visa,3D Secure,Online,POS Terminal,No,1-6 Hours,5,5.22,2–5 Years,66,61+,3396.44,No,No,No,No,0,21.5,Early Morning (12 AM - 6 AM),Wednesday,No,28.5,Low,1,Genuine
3731,14.02,Online Retail,Visa,PIN,ATM,Mac,No,12-24 Hours,0,6.49,2–5 Years,64,61+,617.77,No,No,No,No,0,11.6,Night (9 PM - 12 AM),Wednesday,No,25,Low,0,Genuine
3732,78.49,Online Retail,Amex,OTP,POS,Tablet,No,1-2 Days,0,20.21,2–5 Years,39,36-45,607.15,No,No,No,No,0,0,Morning (6 AM - 12 PM),Sunday,No,50.9,Medium,1,Genuine
3733,106.4,Healthcare,Mastercard,OTP,Contactless,Mac,No,1-6 Hours,8,18.52,2–5 Years,37,36-45,10989.78,No,No,No,No,1,39.2,Early Morning (12 AM - 6 AM),Wednesday,No,43.7,Medium,0,Genuine
3734,7.16,Restaurants,Mastercard,No Authentication,Contactless,Android Phone,No,12-24 Hours,1,17,2–5 Years,46,46-60,1361.57,Yes,No,No,No,0,3.2,Night (9 PM - 12 AM),Saturday,No,25.7,Low,0,Genuine
3735,206.55,Travel,Visa,No Authentication,ATM,iPhone,No,Within 1 Hour,3,4.74,2–5 Years,19,18-25,1928.3,Yes,No,No,No,0,23,Morning (6 AM - 12 PM),Saturday,No,40.2,Medium,0,Genuine
3736,150.17,Electronics,Visa,PIN,Online,Windows PC,No,1-6 Hours,4,12.39,2–5 Years,30,26-35,1122.41,No,No,No,No,0,33.7,Afternoon (12 PM - 5 PM),Saturday,No,50.4,Medium,1,Genuine
3737,92.9,Healthcare,Visa,OTP,Online,Mac,No,12-24 Hours,4,15.91,2–5 Years,69,61+,796.65,Yes,No,No,No,1,25,Morning (6 AM - 12 PM),Wednesday,No,30.3,Low,1,Genuine
3738,77.4,Healthcare,Discover,PIN,Online,iPhone,No,1-6 Hours,2,31.59,5+ Years,79,61+,733.03,No,No,No,No,1,6.6,Night (9 PM - 12 AM),Tuesday,No,5.5,Very Low,0,Genuine
3739,32.9,Groceries,Visa,OTP,POS,iPhone,No,12-24 Hours,3,6.07,2–5 Years,33,26-35,2430.81,No,No,No,No,0,20.1,Early Morning (12 AM - 6 AM),Saturday,No,0,Very Low,2,Genuine
3740,21.77,Healthcare,Amex,PIN,Contactless,Android Phone,No,Within 1 Hour,4,19.29,2–5 Years,42,36-45,764.74,No,No,No,No,0,49.5,Evening (5 PM - 9 PM),Wednesday,No,32.9,Low,0,Genuine
3741,57.2,Gaming,Visa,Biometric,Contactless,Android Phone,Yes,6-12 Hours,7,59.73,2–5 Years,43,36-45,1793.01,No,No,No,No,0,34.8,Early Morning (12 AM - 6 AM),Wednesday,No,67.5,High,1,Genuine
3742,236.02,Restaurants,Mastercard,No Authentication,In-App,Smart Watch,No,1-2 Days,2,29.31,2–5 Years,42,36-45,1308.49,No,No,Yes,No,0,18.8,Afternoon (12 PM - 5 PM),Tuesday,No,14.7,Very Low,0,Genuine
3743,42.95,Groceries,RuPay,No Authentication,Contactless,Android Phone,No,12-24 Hours,3,28.83,2–5 Years,60,46-60,6939.32,No,No,No,No,0,1.6,Early Morning (12 AM - 6 AM),Saturday,No,23.3,Low,0,Genuine
3744,97.35,Restaurants,Visa,Biometric,ATM,Android Phone,No,1-6 Hours,2,38.39,2–5 Years,59,46-60,9203.29,No,Yes,Yes,No,0,20.5,Early Morning (12 AM - 6 AM),Thursday,No,22.1,Low,0,Genuine
3745,83.43,Online Retail,Mastercard,PIN,POS,Smart Watch,No,6-12 Hours,3,18.79,2–5 Years,44,36-45,1574.25,Yes,No,No,No,1,29.1,Morning (6 AM - 12 PM),Friday,No,48.5,Medium,0,Genuine
3746,29.54,Online Retail,Visa,OTP,Contactless,Android Phone,No,Within 1 Hour,0,10.03,2–5 Years,76,61+,4878.75,No,No,No,No,0,8.3,Early Morning (12 AM - 6 AM),Thursday,No,22.1,Low,0,Genuine
3747,2.24,Streaming,Discover,3D Secure,POS,Windows PC,No,6-12 Hours,1,53.34,2–5 Years,74,61+,1280.73,No,No,No,No,0,0,Afternoon (12 PM - 5 PM),Sunday,No,40.9,Medium,0,Genuine
3748,69.6,Restaurants,RuPay,OTP,In-App,Android Phone,No,12-24 Hours,4,13.42,2–5 Years,48,46-60,4551.75,No,No,No,No,0,15.7,Evening (5 PM - 9 PM),Monday,No,41.2,Medium,0,Genuine
3749,75.11,Online Retail,Mastercard,OTP,POS,iPhone,No,12-24 Hours,4,42.54,2–5 Years,33,26-35,4904.76,No,No,No,No,0,21.9,Evening (5 PM - 9 PM),Thursday,No,42,Medium,0,Genuine
3750,81.83,Electronics,Visa,3D Secure,In-App,iPhone,No,1-2 Days,2,24.72,2–5 Years,28,26-35,798.88,No,No,No,No,1,15,Night (9 PM - 12 AM),Saturday,No,50.8,Medium,0,Genuine
3751,16.91,Groceries,Mastercard,No Authentication,In-App,Android Phone,No,1-6 Hours,1,37.97,2–5 Years,33,26-35,1366.96,No,No,No,No,0,13.3,Morning (6 AM - 12 PM),Monday,No,0,Very Low,0,Genuine
3752,74.86,Fuel,RuPay,OTP,In-App,Windows PC,No,12-24 Hours,4,0.29,2–5 Years,31,26-35,2869.47,Yes,No,No,No,0,21.8,Night (9 PM - 12 AM),Thursday,No,26.8,Low,0,Genuine
3753,48.85,Online Retail,Mastercard,3D Secure,POS,Android Phone,No,6-12 Hours,7,44.6,2–5 Years,71,61+,1187.73,No,No,No,No,0,41.6,Morning (6 AM - 12 PM),Wednesday,No,30.5,Low,0,Genuine
3754,119.79,Online Retail,Amex,No Authentication,Online,Android Phone,No,6-12 Hours,0,9.38,2–5 Years,65,61+,2123.09,No,No,No,No,0,3.7,Morning (6 AM - 12 PM),Monday,No,45.7,Medium,0,Genuine
3755,37.17,Restaurants,Amex,PIN,In-App,Tablet,No,12-24 Hours,1,2.58,2–5 Years,62,61+,837.94,No,No,No,No,0,0,Evening (5 PM - 9 PM),Tuesday,No,15,Very Low,1,Genuine
3756,24.32,Online Retail,Visa,No Authentication,Online,iPhone,Yes,Within 1 Hour,8,40.77,2–5 Years,27,26-35,1971.81,No,No,No,No,0,50.8,Morning (6 AM - 12 PM),Sunday,No,46.2,Medium,0,Genuine
3757,39.2,Groceries,Mastercard,OTP,In-App,POS Terminal,No,6-12 Hours,1,10.2,5+ Years,56,46-60,1891.89,Yes,No,No,No,0,13,Afternoon (12 PM - 5 PM),Wednesday,No,58.7,Medium,0,Genuine
3758,917.94,Utilities,Visa,Biometric,POS,Tablet,No,6-12 Hours,5,27.05,2–5 Years,21,18-25,9571.16,No,No,No,No,1,40.1,Evening (5 PM - 9 PM),Sunday,No,30.5,Low,1,Genuine
3759,237.87,Online Retail,Visa,OTP,Online,iPhone,No,1-6 Hours,5,11.25,2–5 Years,38,36-45,2202.06,No,No,Yes,No,1,29.4,Night (9 PM - 12 AM),Thursday,No,21.1,Low,1,Genuine
3760,6.19,Groceries,Visa,PIN,POS,ATM Machine,No,6-12 Hours,4,12.75,2–5 Years,57,46-60,15443.13,No,No,No,No,0,18.7,Night (9 PM - 12 AM),Monday,No,32.7,Low,1,Genuine
3761,9.4,Streaming,Discover,OTP,In-App,Android Phone,No,12-24 Hours,3,8.44,2–5 Years,26,26-35,369.92,No,No,No,No,1,18.1,Night (9 PM - 12 AM),Friday,No,38.8,Low,0,Genuine
3762,98.55,Electronics,Amex,OTP,ATM,Android Phone,No,1-6 Hours,3,10.64,2–5 Years,53,46-60,1898.32,No,No,No,No,0,20.1,Early Morning (12 AM - 6 AM),Saturday,No,61,High,0,Genuine
3763,21.51,Fuel,RuPay,PIN,POS,Mac,No,6-12 Hours,4,38.2,2–5 Years,69,61+,8316.41,No,No,No,No,0,20.1,Early Morning (12 AM - 6 AM),Tuesday,No,36.3,Low,1,Genuine
3764,12.31,Healthcare,Visa,3D Secure,In-App,iPhone,No,Within 1 Hour,3,30.65,2–5 Years,23,18-25,1780.98,No,No,No,No,0,24.1,Early Morning (12 AM - 6 AM),Saturday,No,29.3,Low,0,Genuine
3765,114.18,Restaurants,Visa,3D Secure,POS,Mac,No,1-6 Hours,0,5.55,2–5 Years,38,36-45,2532.5,No,No,No,No,1,10,Early Morning (12 AM - 6 AM),Thursday,No,39.2,Low,0,Genuine
3766,217.53,Crypto Exchange,Visa,PIN,POS,Windows PC,No,1-6 Hours,1,0.47,2–5 Years,22,18-25,1285.46,Yes,No,No,No,1,26.7,Early Morning (12 AM - 6 AM),Monday,No,79.7,High,0,Genuine
3767,88.72,Electronics,Mastercard,3D Secure,In-App,Smart Watch,No,6-12 Hours,3,1.26,2–5 Years,28,26-35,2464.29,No,No,No,No,0,22.7,Night (9 PM - 12 AM),Monday,No,65.3,High,0,Genuine
3768,68.82,Online Retail,Amex,OTP,POS,iPhone,No,6-12 Hours,2,20.52,2–5 Years,76,61+,2149.87,No,No,No,No,0,14.7,Morning (6 AM - 12 PM),Saturday,No,42.5,Medium,0,Genuine
3769,33.14,Fuel,Mastercard,OTP,Online,Windows PC,No,12-24 Hours,4,50.97,2–5 Years,78,61+,33934.35,No,No,No,Yes,0,11.1,Afternoon (12 PM - 5 PM),Monday,No,40.2,Medium,0,Genuine
3770,757.46,Electronics,Mastercard,OTP,Online,Smart Watch,No,1-2 Days,2,11.79,2–5 Years,58,46-60,1177.59,Yes,No,No,No,0,0.4,Early Morning (12 AM - 6 AM),Friday,No,55.8,Medium,0,Genuine
3771,120.22,Healthcare,Amex,PIN,POS,Smart Watch,No,6-12 Hours,4,0.61,2–5 Years,38,36-45,6562.31,No,No,No,No,1,12.2,Morning (6 AM - 12 PM),Monday,No,23.4,Low,2,Genuine
3772,9.19,Streaming,Visa,No Authentication,POS,Tablet,Yes,12-24 Hours,4,16.95,2–5 Years,59,46-60,1267,No,No,No,No,0,20.8,Early Morning (12 AM - 6 AM),Sunday,No,27.1,Low,0,Genuine
3773,94.36,Gaming,RuPay,OTP,Contactless,POS Terminal,No,12-24 Hours,2,50.68,2–5 Years,56,46-60,2593.4,No,No,Yes,No,0,0,Early Morning (12 AM - 6 AM),Sunday,No,65.9,High,0,Genuine
3774,79.63,Fuel,Discover,PIN,POS,Windows PC,Yes,1-6 Hours,6,5.38,2–5 Years,29,26-35,1418.75,Yes,Yes,No,No,0,34.2,Night (9 PM - 12 AM),Sunday,No,34.6,Low,1,Genuine
3775,22.36,Restaurants,Mastercard,Biometric,Online,Windows PC,No,6-12 Hours,4,0.74,5+ Years,62,61+,832.21,Yes,No,No,No,1,10.9,Morning (6 AM - 12 PM),Thursday,No,47,Medium,0,Genuine
3776,29.64,Online Retail,Mastercard,OTP,In-App,iPhone,No,12-24 Hours,4,51.98,2–5 Years,67,61+,3199.53,No,No,No,No,0,8,Morning (6 AM - 12 PM),Thursday,No,18.5,Very Low,0,Genuine
3777,83.18,Healthcare,Amex,PIN,Contactless,Smart Watch,No,12-24 Hours,4,9.3,2–5 Years,71,61+,5629.62,No,No,No,No,0,29.8,Early Morning (12 AM - 6 AM),Monday,No,35,Low,0,Genuine
3778,4.87,Streaming,Visa,PIN,POS,iPhone,No,1-6 Hours,4,22.83,2–5 Years,30,26-35,699.66,No,No,No,No,0,20.9,Night (9 PM - 12 AM),Monday,No,29,Low,0,Genuine
3779,42.3,Groceries,Visa,3D Secure,POS,iPhone,No,12-24 Hours,5,26.98,2–5 Years,45,36-45,698.5,No,No,No,No,0,18.6,Morning (6 AM - 12 PM),Saturday,No,23.3,Low,0,Genuine
3780,766.69,Travel,Visa,No Authentication,Contactless,Android Phone,No,12-24 Hours,5,26.91,2–5 Years,67,61+,1249.08,No,No,No,No,0,29.7,Afternoon (12 PM - 5 PM),Saturday,No,21.6,Low,0,Genuine
3781,70.69,Crypto Exchange,Discover,No Authentication,POS,iPhone,No,1-6 Hours,6,29.91,2–5 Years,66,61+,4750.3,Yes,No,No,No,0,32.8,Morning (6 AM - 12 PM),Sunday,No,62.2,High,0,Genuine
3782,469.97,Gift Cards,Mastercard,No Authentication,Online,Windows PC,No,Within 1 Hour,4,46.1,2–5 Years,61,61+,903.81,No,No,No,No,0,20.2,Early Morning (12 AM - 6 AM),Monday,No,68.1,High,0,Genuine
3783,26.67,Online Retail,Mastercard,PIN,Online,Android Phone,Yes,1-6 Hours,3,28.82,2–5 Years,56,46-60,2058.92,Yes,No,No,No,0,13.7,Morning (6 AM - 12 PM),Saturday,No,35.3,Low,0,Genuine
3784,393.28,Travel,Visa,3D Secure,POS,Mac,No,1-6 Hours,3,13.12,2–5 Years,70,61+,4559.29,No,No,No,No,0,19.2,Afternoon (12 PM - 5 PM),Thursday,Yes,23.4,Low,0,Genuine
3785,88.21,Groceries,RuPay,No Authentication,POS,POS Terminal,No,1-6 Hours,1,5.64,2–5 Years,67,61+,659.69,No,No,No,No,1,12.9,Morning (6 AM - 12 PM),Saturday,No,53.8,Medium,1,Genuine
3786,643.11,Restaurants,Visa,3D Secure,Online,iPhone,No,12-24 Hours,3,14.64,5+ Years,37,36-45,1616.27,No,No,No,No,0,3.9,Afternoon (12 PM - 5 PM),Thursday,No,46.1,Medium,1,Genuine
3787,15.13,Gaming,Visa,3D Secure,Online,Windows PC,No,6-12 Hours,5,45.93,2–5 Years,51,46-60,2454.81,No,No,No,No,0,26.4,Early Morning (12 AM - 6 AM),Monday,No,70.8,High,0,Genuine
3788,104.17,Electronics,Mastercard,No Authentication,Contactless,Android Phone,No,6-12 Hours,2,26.55,2–5 Years,19,18-25,755.95,Yes,No,No,No,0,22.9,Early Morning (12 AM - 6 AM),Tuesday,No,48,Medium,0,Genuine
